"","X.Intercept.","lgHz"
"l27:b06",2.6648117030981,-1.36034420497688
"l27:b07",2.72661276724094,-1.34034033963072
"l27:b08",2.50154700446487,-1.27592626927695
"l27:b09",2.72041391998051,-1.26537777765633
"l27:b10",2.37511078613718,-1.1759635989872
"l27:b11",2.85309818315512,-1.39116209783205
"l27:b12",2.78540529290043,-1.37393483887974
"l27:b13",2.78090166923768,-1.37914962223449
"l27:b14",2.74374045121959,-1.36185253301851
"l27:b15",2.48805564070139,-1.22447346498356
"l27:b16",2.70510537133795,-1.29957221038199
"l27:b17",2.76320512648691,-1.37470432210204
"l27:b18",2.91186993127513,-1.44615455428401
"l27:b19",2.81742072593434,-1.38707147390868
"l27:b20",2.65449524950317,-1.32912757354456
"l27:posttest",2.77334072371598,-1.30773744137241
"l27:pretest",2.81307807520041,-1.37969035336734
"l28:b01",3.44239623876814,-1.5998357936232
"l28:b02",3.63197243447748,-1.66472165553948
"l28:b03",3.51405147746942,-1.61752247861066
"l28:b04",3.63650673209032,-1.64489252202688
"l28:b05",3.56741997304379,-1.59943793535281
"l28:b06",3.37911757516047,-1.56136561852355
"l28:b07",3.43922423193007,-1.59372107112711
"l28:b08",3.70723824485631,-1.62713586766801
"l28:b09",3.50844280934827,-1.58709882238508
"l28:b10",3.53246829483881,-1.59893650614747
"l28:b11",3.36001124052124,-1.51045139348831
"l28:b12",3.55371668972868,-1.57372991444385
"l28:b13",3.33231117469531,-1.49245521845744
"l28:b14",3.62840156168267,-1.6179251792266
"l28:b15",3.37804610925211,-1.51656335873234
"l28:b16",3.52201966085943,-1.56697387388716
"l28:b17",3.53280298111523,-1.54844299372323
"l28:b18",3.30852519568846,-1.46763900513622
"l28:b19",3.42696692544688,-1.49143721125646
"l28:b20",3.49797038572307,-1.52114246541982
"l28:posttest",4.20249135497786,-1.7301762824708
"l28:pretest",4.59740769732186,-1.85783516343869
"l29:b01",2.74943844109154,-1.26512870825403
"l29:b02",2.89935065919223,-1.31561579193854
"l29:b03",2.87913400926719,-1.32349856960101
"l29:b04",2.87282779547407,-1.31106906875104
"l29:b05",2.92927616519783,-1.27641357331115
"l29:b06",2.81734008821223,-1.25150170923323
"l29:b07",2.75340760333532,-1.24206567472148
"l29:b08",2.65615479512444,-1.24816823315269
"l29:b09",2.81995409510739,-1.31683751798198
"l29:b10",2.98461676291163,-1.38253490183031
"l29:b11",2.94374637374373,-1.34122385105177
"l29:b12",2.92140766205642,-1.33689227437811
"l29:b13",3.00213939164197,-1.35887738783965
"l29:b14",2.7656346860822,-1.25215862599722
"l29:b15",2.8689345554363,-1.29046378205099
"l29:b16",3.04598989635575,-1.38313475597959
"l29:b17",2.99269888898147,-1.38178119473749
"l29:b18",3.0886376676631,-1.41836506131145
"l29:b19",2.969495786985,-1.3081751790529
"l29:b20",2.73596593776348,-1.31062840254268
"l29:posttest",3.26487328096681,-1.51275782105284
"l29:pretest",3.32273198755336,-1.49500216750387
"l30:b01",2.9826691282346,-1.34561059095988
"l30:b02",3.12748792532302,-1.39402676045635
"l30:b03",2.99143063712107,-1.39580687214191
"l30:b04",3.0579928754024,-1.37966808368521
"l30:b05",3.16174975553973,-1.37977267633739
"l30:b06",3.04552765755649,-1.33171018522544
"l30:b07",3.0691510305031,-1.35800624181457
"l30:b08",3.17869824986793,-1.4283908227192
"l30:b09",3.25258406207647,-1.47569490407733
"l30:b10",3.20445095383941,-1.4463822168259
"l30:b11",2.9651640026719,-1.28484783384094
"l30:b12",3.34903295651192,-1.57335565932753
"l30:b13",3.29826860742083,-1.51997105787339
"l30:b14",3.48114722494314,-1.49604084408832
"l30:b15",3.1289303006072,-1.40003235515504
"l30:b16",3.2449522383887,-1.41290669113546
"l30:b17",3.36470003529483,-1.49697479521947
"l30:b18",3.53555267304392,-1.57270587636077
"l30:b19",3.19814279369005,-1.41161942538616
"l30:b20",3.08337431691624,-1.41058472200525
"l30:posttest",3.35063468334141,-1.39276574670596
"l30:pretest",3.25407162824671,-1.19258760783654
