subID,time,method,channel,ints,slope
a18,A,fooof,parietal,1.71497012,1.87527132
a18,A,fooof,occipital,1.70983602,1.70923242
a18,B,lmer,frontal,3.136791405,-1.532466385
a18,B,lmer,central,4.134885765,-1.809374205
a18,B,lmer,parietal,4.138289061,-1.847541898
a18,B,lmer,occipital,3.841236422,-1.648624658
a18,B,fooof,frontal,1.057268718,1.330633167
a18,B,fooof,central,1.49792855,1.664104878
a18,B,fooof,parietal,1.482820453,1.687886715
a18,B,fooof,occipital,1.417375169,1.569892865
a18,C,lmer,frontal,3.424689758,-1.54331906
a18,C,lmer,central,4.46721566,-1.818581897
a18,C,lmer,parietal,4.9591512,-1.983601442
a18,C,lmer,occipital,4.901526538,-1.833381847
a18,C,fooof,frontal,1.2355,1.3975
a18,C,fooof,central,1.60396962,1.64428755
a18,C,fooof,parietal,1.79002109,1.85115671
a18,C,fooof,occipital,1.84974785,1.73983949
a19,A,lmer,frontal,3.370637042,-1.740666037
a19,A,lmer,central,4.456208915,-2.077369764
a19,A,lmer,parietal,4.502939935,-2.044927579
a19,A,lmer,occipital,4.593464929,-2.036328576
a19,A,fooof,frontal,1.38147891,1.71876097
a19,A,fooof,central,1.84417916,2.13478901
a19,A,fooof,parietal,1.76704503,2.02885913
a19,A,fooof,occipital,1.80006768,2.01931704
a19,B,lmer,frontal,3.876754639,-1.889119856
a19,B,lmer,central,4.728888526,-2.113534631
a19,B,lmer,parietal,4.59893294,-2.031019361
a19,B,lmer,occipital,4.401399645,-1.936339708
a19,B,fooof,frontal,1.218773514,1.57074454
a19,B,fooof,central,1.464781614,1.723794778
a19,B,fooof,parietal,1.543355192,1.759122113
a19,B,fooof,occipital,1.55829382,1.762405834
a19,C,lmer,frontal,3.878086731,-1.689665589
a19,C,lmer,central,4.516552631,-2.00513624
a19,C,lmer,parietal,4.406787535,-2.000694559
a19,C,lmer,occipital,4.636549238,-2.02077217
a19,C,fooof,frontal,1.58593034,1.65962221
a19,C,fooof,central,1.77620115,1.93022045
a19,C,fooof,parietal,1.70437255,1.9436039
a19,C,fooof,occipital,1.83009572,1.99127517
a20,A,lmer,frontal,3.463952063,-1.501488449
a20,A,lmer,central,4.199587792,-1.760366623
a20,A,lmer,parietal,4.245157974,-1.780500137
a20,A,lmer,occipital,4.292765238,-1.691739987
a20,A,fooof,frontal,1.33953606,1.4317983
a20,A,fooof,central,1.62889683,1.68597826
a20,A,fooof,parietal,1.61715274,1.70579795
a20,A,fooof,occipital,1.64011647,1.65146385
a20,B,lmer,frontal,2.616075671,-1.113308701
a20,B,lmer,central,3.898322972,-1.674618863
a20,B,lmer,parietal,3.925308657,-1.736095049
a20,B,lmer,occipital,3.535497469,-1.565062685
a20,B,fooof,frontal,0.746659679,0.838728059
a20,B,fooof,central,1.348151073,1.46675847
a20,B,fooof,parietal,1.356538324,1.562840919
a20,B,fooof,occipital,1.252191782,1.48279793
a20,C,lmer,frontal,4.000595007,-1.157856242
a20,C,lmer,central,3.926435661,-1.585688839
a20,C,lmer,parietal,4.264363509,-1.757314723
a20,C,lmer,occipital,4.637246252,-1.839573331
a20,C,fooof,frontal,1.71779209,1.20103114
a20,C,fooof,central,1.53628251,1.53280557
a20,C,fooof,parietal,1.53672948,1.62050796
a20,C,fooof,occipital,1.75794062,1.78313719
a21,A,lmer,frontal,0.42116974,-0.458375268
a21,A,lmer,central,2.437139009,-1.25895888
a21,A,lmer,parietal,2.612797127,-1.304408341
a21,A,lmer,occipital,2.92383063,-1.310999315
a21,A,fooof,frontal,0.1039838,0.40276396
a21,A,fooof,central,0.96578874,1.23372919
a21,A,fooof,parietal,1.03852853,1.29746211
a21,A,fooof,occipital,1.24069334,1.32987843
a21,B,lmer,frontal,1.41815652,-0.941118214
a21,B,lmer,central,3.219904973,-1.57428209
a21,B,lmer,parietal,3.053362753,-1.498443954
a21,B,lmer,occipital,2.494547183,-1.084391461
a21,B,fooof,frontal,0.532868722,0.967884584
a21,B,fooof,central,1.116628225,1.414265322
a21,B,fooof,parietal,1.11526108,1.413138297
a21,B,fooof,occipital,0.918604843,1.071610673
a21,C,lmer,frontal,1.205627568,-0.727307824
a21,C,lmer,central,2.40757336,-1.277822245
a21,C,lmer,parietal,2.599842985,-1.329660935
a21,C,lmer,occipital,2.763499949,-1.306374486
a21,C,fooof,frontal,0.461,0.6908
a21,C,fooof,central,0.95042495,1.23828921
a21,C,fooof,parietal,1.02593959,1.30505303
a21,C,fooof,occipital,1.15698111,1.30751929
a22,A,lmer,frontal,1.232083266,-1.067100164
a22,A,lmer,central,2.302002489,-1.279446147
a22,A,lmer,parietal,2.723316714,-1.456345802
a22,A,lmer,occipital,2.123929795,-1.079403889
