subID,block,method,channel,ints,slope
a10,C,lmer,frontal,2.580023874,-1.623258927
a10,C,lmer,central,3.51617224,-1.861955303
a10,C,lmer,parietal,3.052949137,-1.634023085
a10,C,lmer,occipital,1.911664595,-1.042483648
a10,C,fooof,frontal,1.075048075,1.573086324
a10,C,fooof,central,1.096831188,1.520010148
a10,C,fooof,parietal,1.106940413,1.452075991
a10,C,fooof,occipital,0.740735033,0.961459767
a11,A,lmer,frontal,2.666859658,-1.278989099
a11,A,lmer,central,3.393918306,-1.488617074
a11,A,lmer,parietal,3.556471571,-1.596047363
a11,A,lmer,occipital,3.467703946,-1.550458829
a11,A,fooof,frontal,1.116089842,1.229095054
a11,A,fooof,central,1.351805004,1.397293157
a11,A,fooof,parietal,1.515612119,1.631616509
a11,A,fooof,occipital,1.499592705,1.637470483
a11,B,lmer,frontal,3.066167387,-1.280893956
a11,B,lmer,central,3.554848625,-1.453459508
a11,B,lmer,parietal,3.494281279,-1.481269537
a11,B,lmer,occipital,3.103549021,-1.345912816
a11,B,fooof,frontal,1.236436633,1.188953097
a11,B,fooof,central,1.414776842,1.337571634
a11,B,fooof,parietal,1.453302016,1.439894952
a11,B,fooof,occipital,1.360540564,1.294280539
a11,C,lmer,frontal,2.822354522,-1.333339207
a11,C,lmer,central,3.222700871,-1.412591083
a11,C,lmer,parietal,3.622220241,-1.583860464
a11,C,lmer,occipital,3.341888993,-1.490183906
a11,C,fooof,frontal,1.212666758,1.315268564
a11,C,fooof,central,1.277964105,1.311173106
a11,C,fooof,parietal,1.500973374,1.588431071
a11,C,fooof,occipital,1.459816302,1.617699425
a12,A,lmer,frontal,2.052945382,-1.120550532
a12,A,lmer,central,3.384998027,-1.466306525
a12,A,lmer,parietal,3.58132197,-1.544278646
a12,A,lmer,occipital,3.371165118,-1.47243575
a12,A,fooof,frontal,0.776087423,1.054502076
a12,A,fooof,central,1.400063177,1.493091731
a12,A,fooof,parietal,1.445582051,1.529833603
a12,A,fooof,occipital,1.446661452,1.575626561
a12,B,lmer,frontal,1.964866562,-1.013341545
a12,B,lmer,central,3.701640437,-1.604450029
a12,B,lmer,parietal,3.711224394,-1.648807523
a12,B,lmer,occipital,3.348515996,-1.496987931
a12,B,fooof,frontal,0.697683993,0.880226559
a12,B,fooof,central,1.572170334,1.60505687
a12,B,fooof,parietal,1.607306294,1.676193401
a12,B,fooof,occipital,1.478342023,1.549547282
a12,C,lmer,frontal,1.963617726,-1.0236768
a12,C,lmer,central,3.298086844,-1.450363298
a12,C,lmer,parietal,3.411798327,-1.472371023
a12,C,lmer,occipital,3.277199698,-1.417443923
a12,C,fooof,frontal,0.728582179,0.933207953
a12,C,fooof,central,1.323706242,1.404339927
a12,C,fooof,parietal,1.400437443,1.537446564
a12,C,fooof,occipital,1.41730576,1.578321097
a13,A,lmer,frontal,2.908865136,-1.482811347
a13,A,lmer,central,3.759004835,-1.620163915
a13,A,lmer,parietal,4.284518465,-1.747616951
a13,A,lmer,occipital,4.342183747,-1.618759237
a13,A,fooof,frontal,1.087545779,1.397461524
a13,A,fooof,central,1.36143774,1.496803954
a13,A,fooof,parietal,1.603950334,1.673995187
a13,A,fooof,occipital,1.659063415,1.58000707
a13,B,lmer,frontal,2.760792762,-1.284961675
a13,B,lmer,central,3.339663131,-1.373691623
a13,B,lmer,parietal,3.345094208,-1.371190108
a13,B,lmer,occipital,3.427585333,-1.379869539
a13,B,fooof,frontal,1.202338882,1.291306937
a13,B,fooof,central,1.386872548,1.347530769
a13,B,fooof,parietal,1.333560447,1.288886976
a13,B,fooof,occipital,1.432324733,1.358610774
a13,C,lmer,frontal,3.343775669,-1.507973233
