Subject,Block,Condition,Group,Fr_Slope,Fr_Offset,Fr_R2,Cn_Slope,Cn_Offset,Cn_R2,Pr_Slope,Pr_Offset,Pr_R2,Occ_Slope,Occ_Offset,Occ_R2
16,13,practice,yoked,1.257344302,1.168502381,0.952950314,1.961780273,1.913104439,0.996228252,1.970331079,1.873087548,0.996011761,1.980484186,1.890146758,0.997499802
16,14,practice,yoked,1.52561541,1.390235673,0.987673995,1.975110346,1.977508367,0.98971745,2.044566689,1.96354284,0.993648315,1.957040319,1.901430858,0.994813559
16,15,practice,yoked,1.237822966,1.201742807,0.952978973,1.89356803,1.887418895,0.994135927,2.029249827,1.913170172,0.995422412,2.092080553,1.977491904,0.997186421
16,16,practice,yoked,1.360588666,1.246220253,0.966541179,1.97149686,1.962170446,0.99701118,2.056311431,1.95783204,0.996470217,2.003947064,1.909193022,0.999137446
16,17,practice,yoked,1.39724053,1.258898331,0.969018856,2.038290281,2.007423365,0.997091326,2.113058177,1.992957044,0.996104432,2.010726194,1.902603533,0.991152407
16,18,practice,yoked,1.493241259,1.328358916,0.986596926,2.009337113,1.952262631,0.993647916,1.923200489,1.799522143,0.993579548,1.891669308,1.783524222,0.99729636
16,19,practice,yoked,1.38730111,1.294527547,0.954409066,2.035721798,2.020567887,0.99324783,2.076307805,1.98666259,0.991131793,1.966856224,1.842123585,0.996132325
16,20,practice,yoked,1.401223835,1.315079188,0.958262448,1.993002186,1.96785184,0.993786536,2.056977013,1.937842421,0.993275985,1.998686972,1.872721846,0.991309049
16,NA,post,yoked,0.801438411,0.732204097,0.821847805,1.186721597,1.037845884,0.977209182,1.293811873,1.139921817,0.982990654,1.433203181,1.287014638,0.983466475
16,NA,pre,yoked,0.773177812,0.77703014,0.712326506,1.592899458,1.555984108,0.979937937,1.891898861,1.796556587,0.982136142,1.762407919,1.702600747,0.996037199
17,1,practice,yoked,0.954591451,0.873862384,0.864070836,1.265787818,1.437479643,0.992156363,1.327353905,1.398087776,0.98780685,1.312327892,1.317307081,0.993365092
17,2,practice,yoked,1.0801473,0.993999963,0.926253191,1.325287913,1.514487587,0.989491478,1.445349864,1.537638885,0.995782159,1.453756307,1.526448436,0.969133636
17,3,practice,yoked,1.032123051,0.937677567,0.959236143,1.304598928,1.5208425,0.985280095,1.402090736,1.538551512,0.968644126,1.455944168,1.504717438,0.974793243
17,4,practice,yoked,1.072101078,0.955214603,0.979013161,1.290134468,1.462981943,0.985642666,1.339765561,1.403839606,0.99096529,1.409729727,1.447307866,0.982182201
17,5,practice,yoked,1.144231909,1.02696923,0.971394771,1.486972764,1.675258102,0.99607134,1.442988515,1.516505421,0.997581318,1.354861574,1.345667402,0.997847412
17,6,practice,yoked,1.207849213,1.083099265,0.968512431,1.568801869,1.721093879,0.990463084,1.493658036,1.55583343,0.996919583,1.371279498,1.364190701,0.9931363
17,7,practice,yoked,1.243665996,1.066298257,0.986351413,1.498258185,1.673633332,0.993731152,1.543902002,1.641621793,0.988755981,1.482967559,1.531718723,0.978509952
17,8,practice,yoked,1.305335768,1.129861223,0.988575089,1.483061843,1.653379854,0.987028864,1.627703114,1.704265785,0.990158682,1.48645587,1.46715615,0.994275553
17,9,practice,yoked,1.350298598,1.195649025,0.993570117,1.476510378,1.68447362,0.985494968,1.549988092,1.642085972,0.99560333,1.389831167,1.41176904,0.995614603
17,10,practice,yoked,1.232701434,1.082389527,0.982674891,1.48410935,1.631769396,0.992605516,1.38014272,1.450713612,0.99193143,1.455087347,1.505081188,0.972194666
17,11,practice,yoked,1.384729089,1.222627391,0.985446602,1.471139663,1.664963666,0.981100905,1.404468825,1.472533689,0.993713483,1.349757128,1.375582565,0.994060811
17,12,practice,yoked,1.388569381,1.235895558,0.990318259,1.434139645,1.639490797,0.964967186,1.506809466,1.654763329,0.972957486,1.423248271,1.50766616,0.977186297
17,13,practice,yoked,1.474186285,1.26191781,0.996150778,1.575226141,1.73660443,0.996882398,1.579353831,1.679933018,0.990520011,1.376640555,1.394268478,0.98562852
17,14,practice,yoked,1.492902896,1.302921792,0.990229077,1.588905276,1.775784466,0.983412275,1.531545602,1.609833735,0.99533497,1.268753666,1.268066219,0.987819745
17,15,practice,yoked,1.434195074,1.271927281,0.986809076,1.460480793,1.6559177,0.989503285,1.494095399,1.584497949,0.984528932,1.386601697,1.405115756,0.981646652
17,16,practice,yoked,1.417356952,1.229444273,0.974156527,1.531707528,1.71852328,0.986480448,1.579296772,1.679604479,0.970334708,1.442798326,1.430223683,0.992977493
17,17,practice,yoked,1.445670112,1.257892069,0.97139183,1.494433255,1.637823592,0.994972784,1.615890494,1.685013979,0.99475678,1.547849176,1.591282486,0.9792061
17,18,practice,yoked,1.473763403,1.309337472,0.984873772,1.378342744,1.565463775,0.982049266,1.368348819,1.492454895,0.993642384,1.294050395,1.365654432,0.993950537
17,19,practice,yoked,1.449658455,1.273606623,0.98314228,1.562126734,1.748655243,0.983255764,1.595840041,1.734962533,0.982559551,1.5737923,1.618365128,0.973559005
17,20,practice,yoked,1.397111655,1.224495024,0.993962206,1.49031433,1.685756377,0.983059259,1.614816727,1.726103842,0.985830213,1.411858211,1.452827278,0.989903469
17,NA,post,yoked,1.093262998,1.007692463,0.994423764,1.139355733,1.304518719,0.990511695,1.202332066,1.267801936,0.979626384,1.20405093,1.180530507,0.991291073
17,NA,pre,yoked,1.092481869,0.931067426,0.979331482,1.117958896,1.3041838,0.972566381,1.254804936,1.348279859,0.961159844,1.380430212,1.39320991,0.966482803
18,1,practice,yoked,1.115406191,1.122364569,0.961921632,1.402278988,1.60273595,0.994408354,1.3014496,1.435750422,0.988901555,1.214201179,1.378627576,0.990680835
18,2,practice,yoked,1.119766498,1.159025858,0.966990617,1.357381796,1.499091594,0.997835076,1.468246484,1.56939338,0.982983249,1.332236529,1.465378629,0.990984476
18,3,practice,yoked,1.252107561,1.250788781,0.983606,1.508682576,1.653379776,0.981059829,1.509738604,1.589010957,0.988403121,1.431777827,1.529252146,0.988658227
18,4,practice,yoked,1.295632908,1.250093969,0.987781083,1.56909438,1.685036645,0.993129156,1.556146622,1.614447593,0.99063086,1.324034661,1.399137199,0.991960153
18,5,practice,yoked,1.408958891,1.351267759,0.983350004,1.574008001,1.685529007,0.98646788,1.582179751,1.624171446,0.984299759,1.418478893,1.523177972,0.992157702
18,6,practice,yoked,1.338316466,1.298024175,0.97324239,1.437755261,1.591137392,0.974669513,1.432697082,1.518543458,0.985153318,1.247960506,1.36429093,0.994032491
18,7,practice,yoked,1.349534416,1.306183817,0.970108185,1.591363221,1.711351144,0.994773048,1.538685986,1.638121763,0.984894937,1.367865211,1.495390894,0.98771029
18,8,practice,yoked,1.37440478,1.346188703,0.987838379,1.570473067,1.719004524,0.981005782,1.495652832,1.569413855,0.994595998,1.323914331,1.427721794,0.98397785
18,9,practice,yoked,1.425875431,1.388712331,0.982100853,1.531655953,1.624247945,0.994437938,1.384589266,1.44980711,0.993013759,1.266926289,1.390199456,0.992952069
18,10,practice,yoked,1.42224064,1.393779705,0.986247048,1.633116258,1.770563279,0.993200266,1.499585929,1.585481931,0.986601554,1.307456568,1.439353502,0.984298122
18,11,practice,yoked,1.363190913,1.34404568,0.982657637,1.575821487,1.742018172,0.994074442,1.483634077,1.567823228,0.989765148,1.311577036,1.432058804,0.985191162
18,12,practice,yoked,1.397254229,1.355290421,0.985687549,1.639682687,1.760207891,0.995448191,1.555480864,1.635560553,0.992689084,1.230226846,1.306187901,0.992540682
18,13,practice,yoked,1.444797857,1.398214469,0.990212901,1.635484032,1.76630686,0.994318689,1.546480612,1.602689781,0.997739305,1.369819064,1.455616653,0.997168866
18,14,practice,yoked,1.508691988,1.472456328,0.991890227,1.576492046,1.75383719,0.987041022,1.412238385,1.508899913,0.995160795,1.342238762,1.490860389,0.988931646
18,15,practice,yoked,1.451942958,1.40109973,0.994767471,1.566375743,1.694946928,0.995969843,1.493384109,1.547456146,0.993775335,1.250371339,1.339131815,0.994734526
18,16,practice,yoked,1.429838687,1.406886994,0.974627288,1.816283436,1.94608999,0.985947058,1.543824068,1.622671554,0.990523364,1.305364729,1.436765866,0.991714061
18,17,practice,yoked,1.448521453,1.452526056,0.980496628,1.601656898,1.766883635,0.983377597,1.582989645,1.66122259,0.987389902,1.330462528,1.467533752,0.988309909
18,18,practice,yoked,1.380979663,1.400405563,0.970150496,1.495469412,1.655955297,0.981852356,1.428430225,1.519727607,0.975582023,1.211407562,1.360717069,0.97505707
18,19,practice,yoked,1.452858942,1.450544579,0.989176654,1.557651756,1.690315249,0.99153472,1.516320089,1.600116762,0.99474962,1.257416358,1.367664037,0.996296039
