"","X.Intercept.","lgHz"
"l05:b01",3.18173590003672,-1.315886040141
"l05:b02",3.29458147433604,-1.36904959074688
"l05:b03",3.23962298785307,-1.36343521061416
"l05:b04",3.30930923985554,-1.37659016281635
"l05:b05",3.54436918303165,-1.50269306638592
"l05:b06",3.54798551062997,-1.48597250115938
"l05:b07",3.3651580353213,-1.44027212880041
"l05:b08",3.65925889363767,-1.58423658955679
"l05:b09",3.78888946848882,-1.62384967112708
"l05:b10",4.32944775658484,-1.8583683914067
"l05:b11",3.33007623373448,-1.37929656111471
"l05:b12",3.10670665494423,-1.31392420698497
"l05:b13",3.40285639827145,-1.41673935328129
"l05:b14",3.54251903381159,-1.49093290150163
"l05:b15",3.38367595823676,-1.47334772244841
"l05:b16",3.2967431979251,-1.37669126673058
"l05:b17",3.68884324853609,-1.60286056352699
"l05:b18",3.7792145292477,-1.58590724250431
"l05:b19",3.91542551164886,-1.6587473067416
"l05:b20",3.41196979268512,-1.4200387094144
"l05:posttest",3.55225017872217,-1.24009426168746
"l05:pretest",2.82619770410045,-1.09618444887703
"l06:b01",1.94367338377548,-1.07848989744237
"l06:b02",1.99622182906049,-1.12017602673892
"l06:b03",2.06204170894595,-1.14514008381754
"l06:b04",2.05410014054282,-1.13907252947559
"l06:b05",2.13011523339827,-1.14823670385898
"l06:b06",2.26488466537944,-1.19220269322241
"l06:b07",2.06421402555302,-1.15956751444362
"l06:b08",2.00157120445295,-1.13033255731288
"l06:b09",2.05717068226911,-1.16916251326219
"l06:b10",2.19443901022611,-1.23996290294151
"l06:b11",2.2575243769509,-1.2317402989526
"l06:b12",2.05566469342068,-1.12728327830386
"l06:b13",2.22825429938312,-1.17184003106208
"l06:b14",2.16988208989639,-1.21091913074381
"l06:b15",2.17985674714203,-1.18471346035873
"l06:b16",2.02289343803513,-1.13159747971748
"l06:b17",2.15567318830171,-1.19228633467409
"l06:b18",2.17391160528252,-1.18726934092283
"l06:b19",2.21784528265728,-1.21975146737843
"l06:b20",2.02088224999484,-1.12140937731153
"l06:posttest",4.61193988505789,-1.88260987632362
"l06:pretest",2.32252446533335,-1.11284969050219
"l07:b01",3.4458929465349,-1.55874426580763
"l07:b02",3.41198057827287,-1.58612290978112
"l07:b03",3.4788058175105,-1.6276813904578
"l07:b04",3.41751883303056,-1.57116029027932
"l07:b05",3.5781178781042,-1.64297727848431
"l07:b06",3.79683314423377,-1.75536870006591
"l07:b07",3.6881593039254,-1.65037360360192
"l07:b08",3.45602296160689,-1.60363814957697
"l07:b09",3.6487693237284,-1.67253258306576
"l07:b10",3.54910607502072,-1.67940186948874
"l07:b11",3.44460360568027,-1.63420279184388
"l07:b12",3.52833029720418,-1.64736712052155
"l07:b13",3.51443273937067,-1.66314486580398
"l07:b14",3.40432751262472,-1.61409633746448
"l07:b15",3.62470189419979,-1.68440086767491
"l07:b16",3.44666386758163,-1.65404253716965
"l07:b17",3.56842671886367,-1.68280341430626
"l07:b18",3.79455735891799,-1.74707096271454
"l07:b19",3.56719761271422,-1.64943294890078
"l07:b20",3.56572282493728,-1.66564870029555
"l07:posttest",3.38431515810987,-1.5452773881325
"l07:pretest",3.49198608687767,-1.64727183111227
"l08:b01",3.81666298437643,-1.58569741326011
"l08:b02",3.65501712236018,-1.56371598794142
"l08:b03",3.75161362529204,-1.59310015215724
"l08:b04",3.75001610524014,-1.59818845138357
"l08:b05",3.93155731918106,-1.6670152808335
"l08:b06",3.762886814411,-1.60220772862702
"l08:b07",3.63275390171791,-1.54236557799227
"l08:b08",3.60655250485692,-1.56356714819193
"l08:b09",3.74531411344083,-1.58612946888271
"l08:b10",3.71043343930054,-1.58659654202495
"l08:b11",3.56932793403407,-1.5010162564703
"l08:b12",3.8747144886585,-1.63851295676876
"l08:b13",3.57556052179223,-1.49603676684608
"l08:b14",3.89874714736307,-1.61062588165284
"l08:b15",3.75034018640554,-1.54907866939943
"l08:b16",3.85156327214081,-1.65447507206281
"l08:b17",3.99578821769653,-1.65273068767724
"l08:b18",3.99896958188964,-1.6165649893825
"l08:b19",3.83053711029427,-1.58956043847667
"l08:b20",4.05313411047814,-1.65489076923347
"l08:posttest",3.34311244170888,-1.28281083515925
"l08:pretest",3.4259055385398,-1.46593612928421
"l09:b01",3.52814007558577,-1.53405672293124
"l09:b02",3.57890680837638,-1.61413572343063
"l09:b03",3.52186480119663,-1.52573108805995
"l09:b04",3.51955430760002,-1.52173253384902
"l09:b05",3.60734731332604,-1.61100909378353
"l09:b06",3.59441259557995,-1.60389029718496
"l09:b07",3.43245011050439,-1.5221619086022
"l09:b08",3.56065868530304,-1.59725207378912
"l09:b09",3.77593304115008,-1.68854434599783
"l09:b10",3.4102122182553,-1.50934293541765
"l09:b11",3.80165754132587,-1.64244508984014
"l09:b12",3.87490811999735,-1.71265574133611
"l09:b13",3.89228304974133,-1.7330369656548
"l09:b14",3.69937010884493,-1.63590050758484
"l09:b15",3.72451879629927,-1.65413489429291
"l09:b16",3.60549885230652,-1.56507858173918
"l09:b17",3.70820126089995,-1.63099995366145
"l09:b18",3.53469327745744,-1.58140666338871
"l09:b19",3.76969730169801,-1.66033094154811
"l09:b20",3.78703818768853,-1.69435978719685
"l09:posttest",3.86461288052375,-1.61146662138211
"l09:pretest",3.72902024492144,-1.69142182554908
"l10:b01",3.82430999979798,-1.56197321495306
"l10:b02",3.76792207223619,-1.54335652170629
