"","X.Intercept.","lgHz"
"a06:b12",3.84465407979573,-1.77018664141302
"a06:b13",3.50082175244409,-1.61087242461746
"a06:b14",3.59635282942394,-1.68282839320919
"a06:b15",3.75494240371078,-1.69679786963988
"a06:b16",3.62023503522206,-1.67508626434756
"a06:b17",3.63963528924014,-1.71117401939913
"a06:b18",3.77023437548246,-1.65796979325185
"a06:b19",3.90649099254019,-1.77651320120682
"a06:b20",3.32958889595985,-1.55818889997929
"a06:posttest",4.03738701777489,-1.75488255212599
"a06:pretest",3.30123863282282,-1.53041317820096
"a07:b01",3.48888571060969,-1.31858817885185
"a07:b02",3.36295400884089,-1.27863296845217
"a07:b03",3.5028367149947,-1.3314767815279
"a07:b04",3.59813211460242,-1.39280389800994
"a07:b05",3.21209424665584,-1.24142049152869
"a07:b06",3.28721671720351,-1.26005045193446
"a07:b07",3.14678660836972,-1.20389898299356
"a07:b08",3.22204025801614,-1.21357957878879
"a07:b09",3.24927426945421,-1.26002117749544
"a07:b10",3.283665232031,-1.27928432188095
"a07:b11",3.57717140993406,-1.38966439093852
"a07:b12",3.44172509369215,-1.35879037659549
"a07:b13",3.38281610880674,-1.29423605891535
"a07:b14",3.02898246080265,-1.16822545329912
"a07:b15",3.13165838560539,-1.18274158008386
"a07:b16",3.46038152751801,-1.32080408183029
"a07:b17",3.28799235821688,-1.26924092250047
"a07:b18",3.40250377838524,-1.28200385145017
"a07:b19",3.17952221203239,-1.22653789442007
"a07:b20",3.34596616708741,-1.26794399749231
"a07:posttest",2.880262322712,-1.05950336160725
"a07:pretest",3.09670047968457,-0.966234154914074
"a08:b01",3.59483619751752,-1.66090670168105
"a08:b02",3.51528790383828,-1.64324474673274
"a08:b03",3.66149465752269,-1.69247269156529
"a08:b04",3.69327538920002,-1.72172669421852
"a08:b05",3.7727380358691,-1.7297595356408
"a08:b06",3.49341696937882,-1.661173539662
"a08:b07",3.65725231234749,-1.70200598944244
"a08:b08",3.62645409580861,-1.69771353965631
"a08:b09",3.70116721773917,-1.73061978289199
"a08:b10",3.67803230025251,-1.72259449256165
"a08:b11",3.51590314726207,-1.66006680511704
"a08:b12",3.74580487921322,-1.71581556389999
"a08:b13",3.54804500389402,-1.61244058312231
"a08:b14",3.8073553767137,-1.76396557925845
"a08:b15",3.67158879732175,-1.67978851286048
"a08:b16",3.71617019604641,-1.64206621809851
"a08:b17",3.85255166074442,-1.69989601713021
"a08:b18",3.76139664468688,-1.65701269320185
"a08:b19",3.78239951570669,-1.72882860214495
"a08:b20",3.43775103328711,-1.55071806369815
"a08:posttest",4.46605397520774,-2.04758158536604
"a08:pretest",3.43927778075205,-1.76090697431409
"a09:b01",2.89783037603946,-1.28014061050116
"a09:b02",3.05463126596499,-1.33384719075097
"a09:b03",2.92845048333175,-1.30829773804613
"a09:b04",3.07698925404168,-1.3760772922858
"a09:b05",3.10840989572712,-1.38476163343317
"a09:b06",3.05708757891971,-1.36242339452144
"a09:b07",3.18287784039934,-1.36934554144306
"a09:b08",3.2231995093707,-1.39496464740725
"a09:b09",3.19785234639484,-1.3672275441314
"a09:b10",2.98876210496646,-1.33545530058825
"a09:b11",3.12702241423302,-1.41017869225104
"a09:b12",3.3306585873147,-1.40436832885933
"a09:b13",3.27100663465008,-1.44396814814484
"a09:b14",2.90488968571731,-1.30174481096944
"a09:b15",3.09923541448066,-1.34355734057839
"a09:b16",2.91968356043346,-1.29489069314813
"a09:b17",3.16941388644184,-1.38807026083901
"a09:b18",3.05330080964467,-1.35583778708782
"a09:b19",2.98328239992833,-1.30509039890551
"a09:b20",3.18482975369445,-1.3803689179901
"a09:posttest",2.6836315084825,-1.11060457846882
"a09:pretest",2.86005856452351,-1.24646060822288
"a10:b01",3.22358458978572,-1.52587345397886
"a10:b02",3.16517328517431,-1.56603083417936
"a10:b03",3.37465295223695,-1.65824921334364
"a10:b04",3.27955452108134,-1.6043335530131
"a10:b05",3.51956400884941,-1.74296270137437
"a10:b06",3.48203401614205,-1.74548127992959
"a10:b07",3.47026814371527,-1.72025727237355
"a10:b08",3.42360716239134,-1.69033467465175
"a10:b09",3.31494809520441,-1.67183049484628
"a10:b10",3.48915986587709,-1.70671171037174
"a10:b11",3.42002361031242,-1.71711359978922
"a10:b12",3.62329704284697,-1.80373786492612
"a10:b13",3.64173479786056,-1.81220893944132
"a10:b14",3.5500857452535,-1.79409723404282
"a10:b15",3.5809557968275,-1.79278312885476
"a10:b16",3.7626143188331,-1.88122219003676
"a10:b17",3.59367982037594,-1.7842923930382
"a10:b18",3.78912055362972,-1.87809597350305
"a10:b19",3.67739555232204,-1.83840098407387
"a10:b20",3.53375359535272,-1.76817131009158
"a10:posttest",3.05294913677299,-1.63402308515282
"a10:pretest",2.93468280348405,-1.5801925207406
"a11:b01",3.24623108018632,-1.35451598398907
"a11:b02",3.42503122727057,-1.45804762146387
"a11:b03",3.52946928660121,-1.49494006093291
"a11:b04",3.4474899993291,-1.46202505051516
"a11:b05",3.49593600228957,-1.46874617460342
"a11:b06",3.23865716038257,-1.42700119414282
"a11:b07",3.68111279756002,-1.56726086902835
"a11:b08",3.62931402666668,-1.54239693836006
"a11:b09",3.47320816904468,-1.5001849520228
"a11:b10",3.53549679062499,-1.51613444522837
"a11:b11",3.49136664803475,-1.4660735385268
"a11:b12",3.54197765168933,-1.47197847030175
"a11:b13",3.51692539156371,-1.50358334505346
"a11:b14",3.6546493051795,-1.56320919818871
"a11:b15",3.57384556997514,-1.51823303218544
"a11:b16",3.62114376671879,-1.54517910403105
"a11:b17",3.44106356341111,-1.43547694360555
"a11:b18",3.59566683041195,-1.50857510538458
"a11:b19",3.38012688690951,-1.43598711672395
"a11:b20",3.366913427182,-1.38584159677868
