subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a03,prac,b20,N2,Q1,2,2.81379555,-1.406274786,4.335110855,-1.721186616,4.389606681,-1.7796102,4.052393656,-1.61486765,1.10747859,1.351324418,1.77685043,1.698355641,1.855172374,1.860026178,1.762500997,1.769505645
a03,ave_prac,ave_prac,,,,2.463766029,-1.342575627,4.062439945,-1.691058419,4.076815833,-1.754744948,3.678536093,-1.594582625,1.139890678,1.334840409,1.796291802,1.65444921,1.828337967,1.777351744,1.701043612,1.689907612
a03,rest,posttest,,,,3.505758969,-1.443948857,4.949032558,-1.917881276,5.113050618,-1.95772658,4.866665378,-1.790659091,1.22868155,1.254933292,1.890359051,1.783623064,1.902286884,1.848401824,1.92181473,1.853999428
a03,rest,pretest,,,,3.101061122,-1.506073586,4.61027764,-1.811710421,4.806206503,-1.847983861,4.452096555,-1.658821756,1.093377062,1.365997843,1.736964726,1.659521154,1.886316351,1.790146293,1.752177919,1.68177786
a04,prac,b01,N1,Q1,1,1.739480734,-0.932676826,3.204633944,-1.278101815,3.048883489,-1.24626475,2.288395186,-0.810060931,0.554719938,0.76501872,1.324669165,1.205577756,1.147011439,1.130854352,0.886082976,0.724639175
a04,prac,b02,N2,Q1,2,2.046124178,-1.168630731,3.667378832,-1.539193769,3.527682695,-1.517526681,2.678448495,-1.135603752,0.628519848,0.963694076,1.295790616,1.326223772,1.366719672,1.423223263,1.095042183,1.124047552
a04,prac,b03,N3,Q1,3,1.8746892,-1.122804939,3.476313038,-1.497122271,3.417542602,-1.518117183,2.648529357,-1.182136025,0.633916932,0.98401405,1.203026548,1.293061313,1.302345963,1.424047396,1.093373547,1.168256581
a04,prac,b04,P1,Q2,4,2.036630728,-1.218055458,3.723976258,-1.631327367,3.572244048,-1.594335538,2.679709547,-1.16460881,0.618297278,1.018948354,1.322085892,1.418102865,1.426736443,1.526971947,1.113556055,1.148464804
a04,prac,b05,P1,Q2,4,2.177732436,-1.274646839,3.769063181,-1.621038429,3.583405822,-1.6010087,2.752478819,-1.239971862,0.688271658,1.077655851,1.284102515,1.388802851,1.354790266,1.483753945,1.05486109,1.150844474
a04,prac,b06,P1,Q2,4,1.938856805,-1.205164765,3.555715024,-1.563496532,3.49594419,-1.57544016,2.804532427,-1.288968718,0.579770929,0.999282807,1.238708492,1.359096043,1.382085382,1.514249354,1.209951208,1.347448426
